start,end,summary,location,id,cache_timestamp,calendar_id
2024-07-10 18:00:00,2024-07-10 18:45:00,Bookstore Browsing,Library,34,2025-07-06 17:54:00.000000,Personal Growth
2024-07-10 18:45:00,2024-07-10 20:45:00,Quick Errands,Local Shops,35,2025-07-06 17:54:00.000000,Errands
2024-07-10 20:45:00,2024-07-10 23:00:00,Board Game Night,Café,36,2025-07-06 17:54:00.000000,Entertainment
2024-07-11 08:30:00,2024-07-11 09:45:00,Shopping for Clothes,Boutique,37,2025-07-06 17:54:00.000000,Shopping
2024-07-11 10:15:00,2024-07-11 11:15:00,Hardware Repair,Repair Shop,38,2025-07-06 17:54:00.000000,Errands
2024-07-11 11:15:00,2024-07-11 13:00:00,Swimming Laps,Beach,39,2025-07-06 17:54:00.000000,Fitness
2024-07-11 13:00:00,2024-07-11 15:00:00,Dentist Appointment,Dental Clinic,40,2025-07-06 17:54:00.000000,Errands
2024-07-11 15:00:00,2024-07-11 16:30:00,Haircut Appointment,Salon,41,2025-07-06 17:54:00.000000,Errands
2024-07-11 16:30:00,2024-07-11 17:45:00,Goal Review,Café,42,2025-07-06 17:54:00.000000,Personal Growth
2024-07-11 17:45:00,2024-07-11 19:45:00,Dentist Appointment,Dental Clinic,43,2025-07-06 17:54:00.000000,Errands
2024-07-11 20:30:00,2024-07-11 21:00:00,Meditation Session,Park,44,2025-07-06 17:54:00.000000,Fitness
2024-07-11 21:00:00,2024-07-11 22:00:00,Beach Day,Beach,45,2025-07-06 17:54:00.000000,Entertainment
2024-07-11 22:45:00,2024-07-11 23:59:00,Tech Gadget Shopping,Electronics Store,46,2025-07-06 17:54:00.000000,Shopping
2024-07-12 09:45:00,2024-07-12 11:15:00,Zumba Class,Gym,47,2025-07-06 17:54:00.000000,Fitness
2024-07-12 11:15:00,2024-07-12 12:45:00,Bank Visit,Bank,48,2025-07-06 17:54:00.000000,Errands
2024-07-12 12:45:00,2024-07-12 14:30:00,Laundry Day,Laundromat,49,2025-07-06 17:54:00.000000,Errands
2024-07-12 14:30:00,2024-07-12 16:30:00,Beach Day,Beach,50,2025-07-06 17:54:00.000000,Entertainment
2024-07-12 17:00:00,2024-07-12 18:30:00,HR Interview,Office,51,2025-07-06 17:54:00.000000,Productivity
2024-07-12 18:30:00,2024-07-12 19:45:00,Fitness Class,Gym,52,2025-07-06 17:54:00.000000,Fitness
2024-07-12 19:45:00,2024-07-12 20:45:00,Task Prioritization,Office,53,2025-07-06 17:54:00.000000,Productivity
2024-07-12 20:45:00,2024-07-12 23:15:00,Marketing Campaign Planning,Office,54,2025-07-06 17:54:00.000000,Productivity
2024-07-13 07:15:00,2024-07-13 09:30:00,Performance Review Prep,Home,55,2025-07-06 17:54:00.000000,Productivity
2024-07-13 10:15:00,2024-07-13 12:15:00,Virtual Meetup,Online,56,2025-07-06 17:54:00.000000,Social
2024-07-13 12:30:00,2024-07-13 14:00:00,Journaling,Café,57,2025-07-06 17:54:00.000000,Personal Growth
2024-07-13 14:00:00,2024-07-13 15:15:00,Zumba Class,Gym,58,2025-07-06 17:54:00.000000,Fitness
2024-07-13 15:15:00,2024-07-13 17:00:00,Team Sports (Basketball/Soccer),Sports Court,59,2025-07-06 17:54:00.000000,Fitness
2024-07-13 17:00:00,2024-07-13 19:15:00,Dentist Appointment,Dental Clinic,60,2025-07-06 17:54:00.000000,Errands
2024-07-13 19:15:00,2024-07-13 20:30:00,Hardware Repair,Repair Shop,61,2025-07-06 17:54:00.000000,Errands
2024-07-13 21:15:00,2024-07-13 23:45:00,Picnic in the Park,Park,62,2025-07-06 17:54:00.000000,Social
2024-07-14 08:30:00,2024-07-14 09:00:00,Street Food Tour,Market,63,2025-07-06 17:54:00.000000,Social
2024-07-14 09:00:00,2024-07-14 10:00:00,Meal Planning,Home,64,2025-07-06 17:54:00.000000,Productivity
2024-07-14 10:00:00,2024-07-14 12:00:00,Performance Review Prep,Home,65,2025-07-06 17:54:00.000000,Productivity
2024-07-14 12:30:00,2024-07-14 15:00:00,Q&A Session,Meeting Room,66,2025-07-06 17:54:00.000000,Productivity
2024-07-14 15:00:00,2024-07-14 17:00:00,Art Class,Community Center,67,2025-07-06 17:54:00.000000,Personal Growth
2024-07-14 17:00:00,2024-07-14 17:30:00,Museum Visit,Museum,68,2025-07-06 17:54:00.000000,Entertainment
2024-07-14 17:30:00,2024-07-14 18:00:00,Social Gathering,Restaurant,69,2025-07-06 17:54:00.000000,Social
2024-07-14 19:00:00,2024-07-14 21:30:00,Data Analysis,Home,70,2025-07-06 17:54:00.000000,Productivity
2024-07-14 21:30:00,2024-07-14 23:15:00,Pilates Class,Pilates Studio,71,2025-07-06 17:54:00.000000,Fitness
2024-07-15 08:15:00,2024-07-15 09:15:00,Weekend Getaway Planning,Home,72,2025-07-06 17:54:00.000000,Entertainment
2024-07-15 09:45:00,2024-07-15 11:45:00,Inbox Zero Session,Home,73,2025-07-06 17:54:00.000000,Productivity
2024-07-15 11:45:00,2024-07-15 12:15:00,Home Organization,Home,74,2025-07-06 17:54:00.000000,Errands
2024-07-15 12:15:00,2024-07-15 13:15:00,Reading Hour,Park,75,2025-07-06 17:54:00.000000,Personal Growth
2024-07-15 13:15:00,2024-07-15 15:00:00,Skill Workshop,Online,76,2025-07-06 17:54:00.000000,Personal Growth
2024-07-15 15:00:00,2024-07-15 16:15:00,Meal Planning,Home,77,2025-07-06 17:54:00.000000,Productivity
2024-07-15 16:15:00,2024-07-15 18:00:00,Group Workout,Gym,78,2025-07-06 17:54:00.000000,Fitness
2024-07-15 18:15:00,2024-07-15 19:30:00,Sprint Planning,Team Space,79,2025-07-06 17:54:00.000000,Productivity
2024-07-15 19:30:00,2024-07-15 20:00:00,Trivia Quiz Night,Pub,80,2025-07-06 17:54:00.000000,Social
2024-07-15 20:00:00,2024-07-15 20:30:00,Home Organization,Home,81,2025-07-06 17:54:00.000000,Errands
2024-07-15 21:00:00,2024-07-15 21:45:00,Morning Yoga & Meditation,Yoga Studio,82,2025-07-06 17:54:00.000000,Fitness
2024-07-15 22:45:00,2024-07-15 23:59:00,Language Lesson,Online,83,2025-07-06 17:54:00.000000,Personal Growth
2024-07-16 12:15:00,2024-07-16 14:45:00,Bill Payments,Home,84,2025-07-13 18:46:36.038741,Errands
2024-07-16 15:00:00,2024-07-16 16:00:00,Inbox Zero Session,Office,85,2025-07-13 18:46:36.038755,Productivity
2024-07-17 09:15:00,2024-07-17 10:45:00,Outdoor Run,Beach Promenade,86,2025-07-06 17:54:00.000000,Fitness
2024-07-17 10:45:00,2024-07-17 12:00:00,Online Course Study,Online,87,2025-07-06 17:54:00.000000,Personal Growth
2024-07-17 12:00:00,2024-07-17 14:30:00,Goal Review,Home,88,2025-07-06 17:54:00.000000,Personal Growth
2024-07-17 15:00:00,2024-07-17 17:15:00,Weekly Review & Planning,Office,89,2025-07-06 17:54:00.000000,Productivity
2024-07-17 18:15:00,2024-07-17 18:45:00,Q&A Session,Meeting Room,90,2025-07-06 17:54:00.000000,Productivity
2024-07-17 18:45:00,2024-07-17 20:00:00,Reading Hour,Library,91,2025-07-06 17:54:00.000000,Personal Growth
2024-07-17 20:00:00,2024-07-17 21:45:00,Board Game Night,Friends' Place,92,2025-07-06 17:54:00.000000,Entertainment
2024-07-17 22:30:00,2024-07-17 23:15:00,Client Presentation,Online,93,2025-07-06 17:54:00.000000,Productivity
2024-07-18 07:15:00,2024-07-18 10:45:00,Client Follow-up,Online,94,2025-07-13 18:46:36.038769,Productivity
2024-07-18 07:45:00,2024-07-18 10:15:00,Art Class,Community Center,95,2025-07-13 18:46:36.038774,Personal Growth
2024-07-18 18:30:00,2024-07-18 20:30:00,Gym Session,Gym,96,2025-07-13 18:46:36.038779,Fitness
2024-07-18 18:45:00,2024-07-18 20:15:00,HR Interview,Office,97,2025-07-13 18:46:36.038764,Productivity
2024-07-19 07:15:00,2024-07-19 09:15:00,Training Session,Office,98,2025-07-06 17:54:00.000000,Personal Growth
2024-07-19 09:15:00,2024-07-19 11:45:00,Tech Conference,Online,99,2025-07-06 17:54:00.000000,Personal Growth
2024-07-19 12:45:00,2024-07-19 14:30:00,Language Lesson,Online,100,2025-07-06 17:54:00.000000,Personal Growth
2024-07-19 14:30:00,2024-07-19 16:15:00,Board Game Night,Home,101,2025-07-06 17:54:00.000000,Entertainment
2024-07-19 16:15:00,2024-07-19 18:45:00,Group Workout,Park,102,2025-07-06 17:54:00.000000,Fitness
2024-07-19 19:30:00,2024-07-19 22:00:00,Sales Call,Remote,103,2025-07-06 17:54:00.000000,Productivity
2024-07-19 22:00:00,2024-07-19 22:30:00,Coffee with Colleague,Office Kitchen,104,2025-07-06 17:54:00.000000,Social
2024-07-19 22:30:00,2024-07-19 23:59:00,Team Sports (Basketball/Soccer),Park,105,2025-07-06 17:54:00.000000,Fitness
2024-07-20 08:15:00,2024-07-20 10:45:00,Project Debrief,Meeting Room,106,2025-07-06 17:54:00.000000,Productivity
2024-07-20 11:00:00,2024-07-20 11:45:00,Hardware Repair,Repair Shop,107,2025-07-06 17:54:00.000000,Errands
2024-07-20 12:00:00,2024-07-20 14:00:00,DIY Home Project,Home,108,2025-07-06 17:54:00.000000,Errands
2024-07-20 14:00:00,2024-07-20 15:45:00,Morning Yoga & Meditation,Yoga Studio,109,2025-07-06 17:54:00.000000,Fitness
2024-07-20 15:45:00,2024-07-20 16:45:00,Meditation Session,Meditation Center,110,2025-07-06 17:54:00.000000,Fitness
2024-07-20 16:45:00,2024-07-20 18:45:00,Coffee with Colleague,Office Kitchen,111,2025-07-06 17:54:00.000000,Social
2024-07-20 18:45:00,2024-07-20 20:15:00,Post Office Visit,Post Office,112,2025-07-06 17:54:00.000000,Errands
2024-07-20 20:15:00,2024-07-20 22:15:00,Training Session,Training Room,113,2025-07-06 17:54:00.000000,Personal Growth
2024-07-20 22:15:00,2024-07-20 23:59:00,Language Lesson,Online,114,2025-07-06 17:54:00.000000,Personal Growth
2024-07-21 07:00:00,2024-07-21 09:15:00,Pet Vet Appointment,Vet Clinic,115,2025-07-06 17:54:00.000000,Errands
2024-07-21 10:00:00,2024-07-21 10:30:00,Inbox Zero Session,Office,116,2025-07-06 17:54:00.000000,Productivity
2024-07-21 10:30:00,2024-07-21 12:00:00,Documentation Creation,Office,117,2025-07-06 17:54:00.000000,Productivity
2024-07-21 13:00:00,2024-07-21 14:15:00,Morning Yoga & Meditation,Park,118,2025-07-06 17:54:00.000000,Fitness
2024-07-21 14:15:00,2024-07-21 15:00:00,Online Course Study,Library,119,2025-07-06 17:54:00.000000,Personal Growth
2024-07-21 15:00:00,2024-07-21 17:15:00,Beach Day,Beach,120,2025-07-06 17:54:00.000000,Entertainment
2024-07-21 17:15:00,2024-07-21 19:45:00,Bill Payments,Home,121,2025-07-06 17:54:00.000000,Errands
2024-07-21 19:45:00,2024-07-21 22:15:00,Music Practice,Rehearsal Space,122,2025-07-06 17:54:00.000000,Personal Growth
2024-07-21 22:15:00,2024-07-21 23:30:00,Inbox Zero Session,Home,123,2025-07-06 17:54:00.000000,Productivity
2024-07-22 08:30:00,2024-07-22 09:00:00,Sprint Planning,Team Space,124,2025-07-06 17:54:00.000000,Productivity
2024-07-22 09:00:00,2024-07-22 11:30:00,Deep Work Session,Home,125,2025-07-06 17:54:00.000000,Productivity
2024-07-22 11:30:00,2024-07-22 14:00:00,Report Drafting,Home,126,2025-07-06 17:54:00.000000,Productivity
2024-07-22 14:45:00,2024-07-22 17:15:00,Gym Session,Gym,127,2025-07-06 17:54:00.000000,Fitness
2024-07-22 17:15:00,2024-07-22 19:45:00,Client Follow-up,Café,128,2025-07-06 17:54:00.000000,Productivity
2024-07-22 19:45:00,2024-07-22 20:30:00,Lunch Break,Park Bench,129,2025-07-06 17:54:00.000000,Social
2024-07-22 20:45:00,2024-07-22 22:45:00,Creative Writing,Café,130,2025-07-06 17:54:00.000000,Personal Growth
2024-07-22 22:45:00,2024-07-22 23:59:00,Sales Call,Online,131,2025-07-06 17:54:00.000000,Productivity
2024-07-23 09:00:00,2024-07-23 11:45:00,Board Game Night,Home,132,2025-07-13 18:46:36.038789,Social
2024-07-23 19:15:00,2024-07-23 21:00:00,Bookstore Browsing,Library,133,2025-07-13 18:46:36.038785,Personal Growth
2024-07-24 08:45:00,2024-07-24 09:30:00,Personal Training,Gym,134,2025-07-06 17:54:00.000000,Fitness
2024-07-24 09:30:00,2024-07-24 10:15:00,Learning a New Skill,Workshop Space,135,2025-07-06 17:54:00.000000,Personal Growth
2024-07-24 10:15:00,2024-07-24 11:45:00,Journal Reflection,Park,136,2025-07-06 17:54:00.000000,Personal Growth
2024-07-24 11:45:00,2024-07-24 13:30:00,Bug Fixing,Home,137,2025-07-06 17:54:00.000000,Productivity
2024-07-24 14:15:00,2024-07-24 15:30:00,Quarterly Goal Setting,Office,138,2025-07-06 17:54:00.000000,Productivity
2024-07-24 15:30:00,2024-07-24 16:15:00,Reading Hour,Library,139,2025-07-06 17:54:00.000000,Personal Growth
2024-07-24 16:15:00,2024-07-24 16:45:00,Weekend Getaway Planning,Home,140,2025-07-06 17:54:00.000000,Entertainment
2024-07-24 16:45:00,2024-07-24 17:15:00,Picnic in the Park,Park,141,2025-07-06 17:54:00.000000,Social
2024-07-24 18:00:00,2024-07-24 18:30:00,Sales Call,Office,142,2025-07-06 17:54:00.000000,Productivity
2024-07-24 18:45:00,2024-07-24 19:15:00,Trivia Quiz Night,Community Center,143,2025-07-06 17:54:00.000000,Social
2024-07-24 19:30:00,2024-07-24 22:00:00,Swimming Laps,Pool,144,2025-07-06 17:54:00.000000,Fitness
2024-07-24 22:00:00,2024-07-24 23:59:00,Meditation Workshop,Meditation Center,145,2025-07-06 17:54:00.000000,Personal Growth
2024-07-25 11:15:00,2024-07-25 12:30:00,Art Class,Community Center,146,2025-07-13 18:46:36.038794,Personal Growth
2024-07-25 17:30:00,2024-07-25 21:00:00,Beach Day,Beach,147,2025-07-13 18:46:36.038799,Entertainment
2024-07-26 08:45:00,2024-07-26 09:15:00,Bookstore Browsing,Library,148,2025-07-06 17:54:00.000000,Personal Growth
2024-07-26 10:15:00,2024-07-26 12:15:00,Vehicle Refueling,Gas Station,149,2025-07-06 17:54:00.000000,Errands
2024-07-26 13:00:00,2024-07-26 14:45:00,Strategic Planning Meeting,Office,150,2025-07-06 17:54:00.000000,Productivity
2024-07-26 15:15:00,2024-07-26 16:15:00,Dry Cleaning Pickup,Dry Cleaners,151,2025-07-06 17:54:00.000000,Errands
2024-07-26 16:15:00,2024-07-26 17:30:00,Tech Gadget Shopping,Online,152,2025-07-06 17:54:00.000000,Shopping
2024-07-26 17:30:00,2024-07-26 19:15:00,Creative Writing,Home,153,2025-07-06 17:54:00.000000,Personal Growth
2024-07-26 19:15:00,2024-07-26 20:30:00,Shopping for Clothes,Mall,154,2025-07-06 17:54:00.000000,Shopping
2024-07-26 20:30:00,2024-07-26 21:15:00,Gym Class,Gym,155,2025-07-06 17:54:00.000000,Fitness
2024-07-26 21:45:00,2024-07-26 23:30:00,Picking up Prescriptions,Pharmacy,156,2025-07-06 17:54:00.000000,Errands
2024-07-27 16:30:00,2024-07-27 19:45:00,Haircut Appointment,Salon,157,2025-07-13 18:46:36.038804,Errands
2024-07-27 19:45:00,2024-07-27 21:00:00,User Feedback Session,Office,158,2025-07-13 18:46:36.038809,Productivity
2024-07-28 09:00:00,2024-07-28 11:15:00,Souk/Market Visit,Carmel Market,159,2025-07-06 17:54:00.000000,Shopping
2024-07-28 11:15:00,2024-07-28 11:45:00,Sprint Planning,Team Space,160,2025-07-06 17:54:00.000000,Productivity
2024-07-28 11:45:00,2024-07-28 13:00:00,Puzzle Evening,Home,161,2025-07-06 17:54:00.000000,Entertainment
2024-07-28 13:00:00,2024-07-28 13:45:00,Data Analysis,Research Lab,162,2025-07-06 17:54:00.000000,Productivity
2024-07-28 14:00:00,2024-07-28 15:45:00,Bank Visit,ATM,163,2025-07-06 17:54:00.000000,Errands
2024-07-28 15:45:00,2024-07-28 16:30:00,Zumba Class,Community Center,164,2025-07-06 17:54:00.000000,Fitness
2024-07-28 17:00:00,2024-07-28 18:00:00,Online Course Study,Home,165,2025-07-06 17:54:00.000000,Personal Growth
2024-07-28 18:00:00,2024-07-28 20:30:00,Vehicle Refueling,Gas Station,166,2025-07-06 17:54:00.000000,Errands
2024-07-28 20:30:00,2024-07-28 21:45:00,Networking Event,Event Hall,167,2025-07-06 17:54:00.000000,Social
2024-07-28 21:45:00,2024-07-28 22:45:00,Gardening,Garden,168,2025-07-06 17:54:00.000000,Personal Growth
2024-07-28 22:45:00,2024-07-28 23:45:00,Quarterly Goal Setting,Off-site Venue,169,2025-07-06 17:54:00.000000,Productivity
2024-07-29 08:00:00,2024-07-29 08:30:00,Task Prioritization,Office,170,2025-07-06 17:54:00.000000,Productivity
2024-07-29 09:00:00,2024-07-29 09:45:00,Meditation Workshop,Online,171,2025-07-06 17:54:00.000000,Personal Growth
2024-07-29 09:45:00,2024-07-29 11:00:00,Virtual Meetup,Online,172,2025-07-06 17:54:00.000000,Social
2024-07-29 11:00:00,2024-07-29 13:15:00,Social Gathering,Park,173,2025-07-06 17:54:00.000000,Social
2024-07-29 13:15:00,2024-07-29 14:00:00,Project Debrief,Online,174,2025-07-06 17:54:00.000000,Productivity
2024-07-29 14:00:00,2024-07-29 15:45:00,Networking Event,Online,175,2025-07-06 17:54:00.000000,Social
2024-07-29 16:30:00,2024-07-29 17:15:00,Trivia Quiz Night,Community Center,176,2025-07-06 17:54:00.000000,Social
2024-07-29 17:15:00,2024-07-29 18:00:00,Coffee with Mentor,Café,177,2025-07-06 17:54:00.000000,Social
2024-07-29 18:15:00,2024-07-29 20:00:00,Quick Errands,Downtown,178,2025-07-06 17:54:00.000000,Errands
2024-07-29 20:00:00,2024-07-29 20:45:00,Pet Vet Appointment,Vet Clinic,179,2025-07-06 17:54:00.000000,Errands
2024-07-29 20:45:00,2024-07-29 21:45:00,Team Brainstorm,Co-working Space,180,2025-07-06 17:54:00.000000,Productivity
2024-07-29 22:15:00,2024-07-29 22:45:00,Swimming Laps,Beach,181,2025-07-06 17:54:00.000000,Fitness
2024-07-30 09:30:00,2024-07-30 10:15:00,Dry Cleaning Pickup,Dry Cleaners,182,2025-07-06 17:54:00.000000,Errands
2024-07-30 10:15:00,2024-07-30 10:45:00,Weekly Review & Planning,Home,183,2025-07-06 17:54:00.000000,Productivity
2024-07-30 10:45:00,2024-07-30 12:00:00,Book Club Meeting,Home,184,2025-07-06 17:54:00.000000,Social
2024-07-30 12:30:00,2024-07-30 15:00:00,Pet Vet Appointment,Vet Clinic,185,2025-07-06 17:54:00.000000,Errands
2024-07-30 15:00:00,2024-07-30 17:15:00,Sprint Planning,Team Space,186,2025-07-06 17:54:00.000000,Productivity
2024-07-30 17:15:00,2024-07-30 18:15:00,Photography Walk,City Center,187,2025-07-06 17:54:00.000000,Personal Growth
2024-07-30 18:15:00,2024-07-30 20:30:00,Documentation Creation,Office,188,2025-07-06 17:54:00.000000,Productivity
2024-07-30 20:30:00,2024-07-30 21:15:00,Team Sports (Basketball/Soccer),Sports Court,189,2025-07-06 17:54:00.000000,Fitness
2024-07-30 21:15:00,2024-07-30 21:45:00,Picking up Prescriptions,Pharmacy,190,2025-07-06 17:54:00.000000,Errands
2024-07-30 21:45:00,2024-07-30 23:59:00,DIY Home Project,Hardware Store,191,2025-07-06 17:54:00.000000,Errands
2024-07-31 10:15:00,2024-07-31 12:00:00,Laundry Day,Laundromat,192,2025-07-13 18:46:36.038814,Errands
2024-07-31 14:15:00,2024-07-31 17:15:00,Picnic in the Park,Park,193,2025-07-13 18:46:36.038818,Social
2024-08-01 07:45:00,2024-08-01 08:15:00,Museum Visit,Art Gallery,194,2025-07-06 17:54:00.000000,Entertainment
2024-08-01 08:15:00,2024-08-01 09:00:00,Journal Reflection,Home,195,2025-07-06 17:54:00.000000,Personal Growth
2024-08-01 09:00:00,2024-08-01 10:45:00,Client Presentation,Office,196,2025-07-06 17:54:00.000000,Productivity
2024-08-01 11:15:00,2024-08-01 12:45:00,Book Club Meeting,Library,197,2025-07-06 17:54:00.000000,Social
2024-08-01 13:30:00,2024-08-01 15:45:00,Post Office Visit,Post Office,198,2025-07-06 17:54:00.000000,Errands
2024-08-01 16:30:00,2024-08-01 17:15:00,Weekend Getaway Planning,Home,199,2025-07-06 17:54:00.000000,Entertainment
2024-08-01 18:00:00,2024-08-01 20:00:00,Journaling,Home,200,2025-07-06 17:54:00.000000,Personal Growth
2024-08-01 20:00:00,2024-08-01 22:15:00,Client Presentation,Conference Center,201,2025-07-06 17:54:00.000000,Productivity
2024-08-01 22:15:00,2024-08-01 23:00:00,Post Office Visit,Post Office,202,2025-07-06 17:54:00.000000,Errands
2024-08-02 07:30:00,2024-08-02 10:00:00,DIY Home Project,Hardware Store,203,2025-07-06 17:54:00.000000,Errands
2024-08-02 10:00:00,2024-08-02 10:45:00,Book Club Meeting,Café,204,2025-07-06 17:54:00.000000,Social
2024-08-02 10:45:00,2024-08-02 12:45:00,Sales Call,Remote,205,2025-07-06 17:54:00.000000,Productivity
2024-08-02 12:45:00,2024-08-02 13:15:00,Music Practice,Rehearsal Space,206,2025-07-06 17:54:00.000000,Personal Growth
2024-08-02 13:15:00,2024-08-02 15:45:00,Picking up Prescriptions,Pharmacy,207,2025-07-06 17:54:00.000000,Errands
2024-08-02 16:45:00,2024-08-02 18:45:00,Journal Reflection,Park,208,2025-07-06 17:54:00.000000,Personal Growth
2024-08-02 19:00:00,2024-08-02 21:30:00,Budget Review,Finance Department,209,2025-07-06 17:54:00.000000,Productivity
2024-08-02 22:00:00,2024-08-02 22:30:00,Gardening,Garden,210,2025-07-06 17:54:00.000000,Personal Growth
2024-08-02 22:30:00,2024-08-02 23:15:00,Podcast Listening,Commute,211,2025-07-06 17:54:00.000000,Entertainment
2024-08-03 08:45:00,2024-08-03 10:00:00,Learning a New Skill,Workshop Space,212,2025-07-06 17:54:00.000000,Personal Growth
2024-08-03 10:00:00,2024-08-03 12:15:00,Zumba Class,Community Center,213,2025-07-06 17:54:00.000000,Fitness
2024-08-03 12:45:00,2024-08-03 13:15:00,Streaming Series Binge,Home,214,2025-07-06 17:54:00.000000,Entertainment
2024-08-03 13:15:00,2024-08-03 14:45:00,Dentist Appointment,Dental Clinic,215,2025-07-06 17:54:00.000000,Errands
2024-08-03 15:30:00,2024-08-03 16:15:00,Meditation Session,Home,216,2025-07-06 17:54:00.000000,Fitness
2024-08-03 17:00:00,2024-08-03 18:00:00,Reading Hour,Park,217,2025-07-06 17:54:00.000000,Personal Growth
2024-08-03 18:00:00,2024-08-03 19:30:00,Coffee with Colleague,Office Kitchen,218,2025-07-06 17:54:00.000000,Social
2024-08-03 19:30:00,2024-08-03 21:45:00,Electronics Shopping,Online,219,2025-07-06 17:54:00.000000,Shopping
2024-08-03 21:45:00,2024-08-03 22:15:00,Dinner with Friends,Bar,220,2025-07-06 17:54:00.000000,Social
2024-08-03 22:30:00,2024-08-03 23:59:00,Swimming Laps,Beach,221,2025-07-06 17:54:00.000000,Fitness
2024-08-04 08:00:00,2024-08-04 08:45:00,Souk/Market Visit,Jaffa Flea Market,222,2025-07-06 17:54:00.000000,Shopping
2024-08-04 08:45:00,2024-08-04 11:15:00,Beach Day,Beach,223,2025-07-06 17:54:00.000000,Entertainment
2024-08-04 11:15:00,2024-08-04 12:30:00,Meditation Session,Park,224,2025-07-06 17:54:00.000000,Fitness
2024-08-04 13:15:00,2024-08-04 15:00:00,Marketing Campaign Planning,Office,225,2025-07-06 17:54:00.000000,Productivity
2024-08-04 15:00:00,2024-08-04 16:15:00,Bug Fixing,Home,226,2025-07-06 17:54:00.000000,Productivity
